Panel	Marker	Allele	Size	Size.Min	Size.Max	Virtual	Color	Repeat	Marker.Min	Marker.Max	Offset	Short.Name	Full.Name	Gender.Marker	Quality.Sensor
GlobalFiler_Panel_v1	D3S1358	8	92.5	92	93	1	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	9	96.5	96	97	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	10	100.5	100	101	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	11	104.5	104	105	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	12	108.5	108	109	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	13	112.5	112	113	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	14	116.5	116	117	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	15	120.5	120	121	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	15.2	122.5	122	123	1	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	16	124.5	124	125	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	16.2	126.5	126	127	1	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	17	128.5	128	129	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	17.1	129.5	129.1	129.95	1	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	17.2	130.5	130.05	131	1	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	18	132.5	132	133	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	18.2	134.5	134	135	1	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	19	136.5	136	137	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	20	140.5	140	141	0	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	20.1	141.5	141.1	142	1	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	D3S1358	21	144.5	144	145	1	blue	4	90.5	146.5	60	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	vWA	10	153	152.5	153.5	1	blue	4	151	215	113	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	vWA	11	157	156.5	157.5	0	blue	4	151	215	113	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	vWA	12	161	160.5	161.5	0	blue	4	151	215	113	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
GlobalFiler_Panel_v1	vWA	13	165	164.5	165.5	0	blue	4	151	215	113	GlobalFiler	GlobalFiler PCR Amplification Kit	FALSE	FALSE
