Allele,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D1S1656,D21S11,D7S820,D2S441,TH01,FGA,D22S1045,D2S1338,D3S1358,D5S818,TPOX,vWA,D8S1179,SE33
5,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,0.08851,,,,,,,,,
7,0.00255,,,0.00298,,,,,,0.00298,,0.27574,,,,,0.02255,0.00043,,,
7.1,,,,,,,,,,,,,,,,,,,,,
7.3,,,,,,,,,,0.00043,,,,,,,,,,,
8,0.00298,0.0017,,0.25957,0.00851,,,,,0.14085,,0.05021,,,,,0.0017,0.51915,,0.0017,
8.1,,,,,,,,,,,0.00128,,,,,,,,,,
9,0.04766,,,0.14255,0.28043,,,,,0.05787,0.00043,0.51957,,,,,0.07064,0.12511,,0.00043,
9.1,,,,,,,,,,0.0034,0.03362,,,,,,,,,,
9.2,,,,,,,0.00043,,,,,,,,,,,,,,
9.3,,,,,,,,,,,0.00043,0.0383,,,,,,,,,
10,0.23149,0.00085,,0.15319,0.11872,0.00213,0.00212,,,0.16043,0.25191,0.02723,,,,,0.17532,0.02128,,0.11574,
10.1,,,,,,,,,,,0.00128,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,,,,,,,
11,0.24979,0.00383,,0.24596,0.25574,0.00383,0.00128,0.06979,,0.34681,0.32766,0.00043,,0.23106,,,0.32638,0.30766,,0.09191,0.00043
11.1,,,,,,,,,,,,,,,,,,,,,
11.2,,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,0.04128,,,,,,,,,,
12,0.37447,0.07191,,0.14766,0.22128,0.03745,0.04511,0.04085,,0.24681,0.18894,,,0.00681,,0.00043,0.24553,0.02511,0.00043,0.13319,0.00043
12.1,,,,,,,,,,,,,,,,,,,,,
12.2,,,,,,,0.00596,,,,,,,,,,,,,,0.00085
12.3,,,,,,,,,,,0.00128,,,,,,,,,,
13,0.07702,0.38638,,0.03489,0.1,0.19277,0.27872,0.09362,,0.0366,0.02426,,0.0017,0.00511,,0.00213,0.14596,0.00043,0.00128,0.22298,0.00255
13.1,,,,,,,,,,,,,,,,,,,,,
13.2,,,,,,,0.03872,,,,,,,,,,,,,,
13.3,,,,,,,,,,,,,,,,,,,,,
14,0.01149,0.22809,,0.01191,0.01319,0.22,0.25064,0.07574,,0.00383,0.1166,,,0.01447,,0.03404,0.00979,0.00043,0.25319,0.1783,0.00468
14.1,,,,,,,,,,,,,,,,,,,,,0.00043
14.2,,,,,,,0.11021,,,,,,,,,,,,,,0.00043
15,0.00255,0.20894,0.01574,0.00128,0.00213,0.16596,0.06809,0.30638,,,0.01106,,,0.27191,,0.35745,0.00213,,0.03277,0.16851,0.01106
15.1,,,,,,,,,,,,,,,,,,,,,0.00043
15.2,,,,,,,0.14468,,,,,,,,,,,,,,0.00043
15.3,,,,,,,,0.00085,,,,,,,,,,,,,
