Sample Name	Marker	Allele 1	Allele 2	Allele 3	Allele 4	Allele 5	Allele 6	Allele 7	Height 1	Height 2	Height 3	Height 4	Height 5	Height 6	Height 7
1-1.5B	D3S1358	15	16	17					538	366	376				
1-1.5B	D13S317	8	10						652	338					
1-1.5B	D7S820	8	9	11	12				360	290	480	373			
1-1.5B	D16S539	9	12						851	437					
1-1.5B	Penta E	9	11	19	23				216	127	182	191			
1-1.5B	D2S441	10	11	14					418	953	336				
1-1.5B	TPOX	8	12						515	223					
1-1.5B	TH01	7	9						1203	585					
1-1.5B	D2S1338	20	23	24					442	305	255				
1-1.5B	CSF1PO	10	11	12					320	440	730				
1-1.5B	Penta D	8	10	12					183	234	825				
1-1.5B	D10S1248	13	15						723	241					
1-1.5B	D19S433	13	14	15.2	16				471	285	303	351			
1-1.5B	vWA	16	17	18					214	275	509				
1-1.5B	D21S11	31	31.2	33.2					414	462	192				
1-1.5B	D18S51	12	13	18					660	198	311				
1-1.5B	D6S1043	14	18	19					632	518	298				
1-1.5B	Amel	X	Y						527	153					
1-1.5B	D8S1179	11	12	13	16				162	192	251	260			
1-1.5B	D5S818	7	11	12	13				252	373	278	336			
1-1.5B	D12S391	15	18	20					193	239	763				
1-1.5B	FGA	22	23	24.2					253	416	191				
