,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D2S441,D3S1358,D5S818,D6S1043,D7S820,D8S1179,FGA,Penta D,Penta E,TH01,TPOX,vWA
5,,,,0.0009,,,,,,,,,,,,,0.0009,0.0546,,0.0009,
6,0.0009,,,,0.0009,,,,,,,,,,,,0.0014,,0.0933,0.0009,
6.3,,,,,,0.0009,,,,,,,,,,,,,0.0009,,
7,0.0048,0.0009,,0.0009,,,,,,,,0.0292,,0.0014,,,0.0107,0.0009,0.2698,0.0014,
8,0.0036,0.0016,,0.3002,0.0064,,,,,0.0009,,0.0034,0.0009,0.1515,0.0009,,0.0548,0.0057,0.0542,0.5286,
8.3,,,,,,,,,,,,,,,,,,,0.0009,,
9,0.0469,0.0009,,0.1432,0.2727,0.0009,,,,0.0009,,0.0661,0.0014,0.0661,0.0009,,0.3376,0.0093,0.5038,0.1191,
9.1,,,,,,,,,,0.0252,,,,0.0011,,,,,,,
9.2,,,,,,,,,,,,,,0.0009,,,,,,,
9.3,,,,,,,,,,,,,,,,,,,0.0392,,
10,0.2322,0.002,,0.1378,0.1174,0.0009,0.0009,,,0.2555,,0.2041,0.036,0.1561,0.1241,,0.1162,0.0462,0.0385,0.0242,
10.1,,,,,,,,,,0.0016,,,,0.0009,,,,,,,
10.3,,,,,0.0009,,,,,,,,,,,,,,,,
11,0.2295,0.0036,,0.2342,0.2735,0.0027,0.003,,,0.3133,0.0009,0.3226,0.1117,0.3548,0.1004,,0.1495,0.1695,0.0009,0.302,
11.1,,,,,,,,,,,,,,0.0009,,,,,,,
11.2,,,,,,,0.0009,,,,,,,,,,,,,,
11.3,0.0009,,,,,,,,,0.0559,,,,,,,,,,,
12,0.399,0.0671,,0.1398,0.217,0.036,0.0431,,,0.1738,0.0009,0.2284,0.1321,0.2245,0.1196,,0.1622,0.1096,,0.0235,
12.1,,,,,,,,,,,,,,0.0009,,,,,,,
12.2,,,,,,,0.0073,,,,,,,,,,,,,,
12.3,,,,,,,,,,0.0009,,,0.0009,,,,,,,,
